# Time-averaged data for fix 1
# TimeStep Number-of-rows
# Row c_myChunk[1] c_myChunk[2] c_myChunk[3] c_myChunk[4]
10000 729
486 2.0156 10.8341 1.16008 14.0097
487 1.64995 1.13269 0.568754 3.3514
488 16.9265 1.95081 1.05964 19.937
489 26.9002 6.4208 1.74044 35.0615
490 22.5463 4.08147 1.96466 28.5924
491 1.10834 2.74038 7.86463 11.7134
492 11.6546 1.14926 4.54397 17.3478
493 14.9373 17.6591 8.87076 41.4672
494 1.83873 12.06 9.07398 22.9727
495 8.84381 0.673802 2.48657 12.0042
496 6.54184 16.4505 7.13199 30.1243
497 5.74316 3.60265 14.5845 23.9304
498 2.91099 0.892772 2.35461 6.15837
499 6.96064 0.982959 1.68361 9.62722
500 14.977 1.24905 6.41481 22.6409
501 1.28897 9.96391 19.5028 30.7557
502 6.59931 11.2419 6.17241 24.0137
503 8.31427 25.8332 5.87051 40.018
504 19.3852 6.5879 36.8091 62.7823
505 21.3365 1.32733 1.89404 24.5579
506 1.42309 0.424729 18.4387 20.2865
507 12.3109 28.8695 21.056 62.2364
508 1.77363 0.662084 1.36455 3.80027
509 1.70049 5.12899 17.3839 24.2133
510 4.20468 2.2222 12.3508 18.7777
511 8.69015 1.81979 4.87201 15.382
512 5.1236 1.54207 35.346 42.0116
513 10.8168 11.8752 0.832256 23.5242
514 0.820304 7.82473 10.3866 19.0316
515 5.81384 2.06633 13.0055 20.8857
516 1.23572 1.05538 9.50224 11.7933
517 0.824749 8.02045 9.24608 18.0913
518 1.82811 1.93206 4.10659 7.86676
519 17.0226 12.6649 4.26933 33.9568
520 10.2907 3.75608 11.1242 25.171
521 1.41584 1.35402 7.20361 9.97346
522 6.92302 3.10363 9.50799 19.5347
523 13.8421 1.79333 9.76944 25.4049
524 2.0752 0.52223 0.638675 3.23611
525 0.863702 4.87253 33.0776 38.8138
526 3.79889 2.62698 17.1129 23.5388
527 12.5857 52.0016 27.6204 92.2077
528 9.16255 6.90971 4.63345 20.7057
529 23.0944 6.45025 0.997996 30.5426
530 5.33996 5.28438 8.0699 18.6942
531 1.49932 3.79426 1.20115 6.49473
532 3.21346 3.94933 3.76693 10.9297
533 2.35762 9.49855 2.30026 14.1564
534 12.6036 1.52192 7.36744 21.493
535 6.69641 0.773593 27.5733 35.0433
536 1.74081 6.58722 2.11669 10.4447
537 1.30195 1.15161 17.414 19.8676
538 3.28919 11.8912 5.0878 20.2682
539 13.8709 8.07381 2.26198 24.2067
540 4.20542 4.76565 1.77761 10.7487
541 4.5585 5.05344 4.94109 14.553
542 4.20739 6.64792 10.0568 20.9121
543 1.35072 0.918656 7.27263 9.542
544 13.0938 2.3301 7.59436 23.0183
545 8.2221 5.10582 1.26486 14.5928
546 22.3136 10.8207 5.07203 38.2064
547 17.26 3.52897 11.7656 32.5545
548 2.54085 1.42815 9.0884 13.0574
549 4.08746 4.92136 9.29922 18.308
550 21.8737 2.4637 5.52189 29.8593
551 1.39629 7.58718 1.79766 10.7811
552 0.676327 4.31547 0.674502 5.6663
553 1.58727 24.5826 6.85037 33.0202
554 32.0746 2.5691 3.32249 37.9661
555 14.6219 0.684837 26.6857 41.9925
556 2.6846 2.39587 4.22479 9.30525
557 17.0294 1.58681 2.64205 21.2583
558 1.11252 20.2918 35.229 56.6333
559 3.47189 5.38283 5.81929 14.674
560 1.10399 8.84213 7.4631 17.4092
561 5.63301 4.72039 8.29331 18.6467
562 2.41867 1.93756 0.683291 5.03952
563 5.98128 2.11386 1.81066 9.9058
564 3.89442 2.16443 0.904553 6.9634
565 7.3707 7.54324 4.83506 19.749
566 3.8589 2.69592 7.85722 14.412
567 14.6795 3.4207 4.07584 22.176
568 19.0714 2.58813 4.25926 25.9188
569 2.87451 4.11362 11.4455 18.4337
570 8.43314 2.13994 9.92003 20.4931
571 10.4941 10.45 11.9505 32.8946
572 5.24366 3.25316 10.6517 19.1485
573 2.38152 68.4142 11.0213 81.817
574 6.24655 1.59073 2.19052 10.0278
575 1.29837 1.90619 3.94411 7.14868
576 1.84414 3.67354 6.26117 11.7789
577 7.03872 1.84686 1.63181 10.5174
578 19.3943 2.63086 26.6659 48.691
579 2.40565 15.3477 9.17331 26.9266
580 1.65639 1.73768 0.885479 4.27955
581 7.30174 0.359434 23.0146 30.6757
582 4.30235 14.6861 21.613 40.6015
583 0.82692 0.963817 3.46171 5.25245
584 0.544806 2.52039 4.44429 7.50949
585 13.3246 9.44441 22.0523 44.8213
586 7.33498 5.59207 1.04546 13.9725
587 41.9312 1.19882 4.14974 47.2797
588 10.0559 3.87953 9.57529 23.5107
589 2.52137 8.07064 7.2827 17.8747
590 13.2422 0.939959 27.8006 41.9828
591 1.66399 3.96453 0.634546 6.26306
592 1.80779 0.916154 14.9514 17.6753
593 4.82249 36.0657 0.852535 41.7408
594 9.76081 2.0238 17.7384 29.523
595 3.15363 46.9939 9.567 59.7146
596 25.2118 7.74779 3.25921 36.2188
597 29.62 3.9197 25.7831 59.3228
598 31.2415 9.01098 14.3886 54.6411
599 11.1259 2.42733 1.80978 15.363
600 3.83865 10.968 3.32371 18.1303
601 3.10384 2.45501 2.3255 7.88435
602 7.29851 7.57331 6.38426 21.2561
603 15.4394 15.1757 8.68417 39.2992
604 2.41743 5.29392 32.0033 39.7147
605 22.4902 1.7025 1.64911 25.8418
606 36.9684 3.62708 6.39056 46.986
607 1.30521 24.9687 1.71361 27.9875
608 1.13815 1.79172 12.7921 15.722
609 2.10644 1.46256 20.3255 23.8945
610 23.9373 14.6546 1.12672 39.7186
611 9.71764 5.70894 3.00874 18.4353
612 25.0305 25.8205 7.46085 58.3118
613 7.01585 8.85013 3.23493 19.1009
614 6.9068 1.37561 0.551901 8.83431
615 1.01542 2.47723 2.49482 5.98748
616 15.4408 5.05098 1.61845 22.1102
617 23.0643 1.98129 10.6334 35.679
618 61.8769 12.6926 5.5481 80.1175
619 1.41326 3.10926 1.01476 5.53728
620 8.17419 4.85509 2.00687 15.0362
621 0.974558 17.372 17.0734 35.42
622 9.46565 4.18379 1.35501 15.0045
623 4.38914 3.37925 1.78885 9.55724
624 4.87971 20.1991 10.1067 35.1855
625 3.7637 2.57163 11.981 18.3163
